# uv_i_x uv_i_y  uv_j_x uv_j_y
0.582504 0.636352  0.749459 0.521728
0.199469 0.596961  0.691981 0.233161
0.459157 0.250248  0.485137 0.248157
0.446590 0.246119  0.496915 0.241985
0.419784 0.235808  0.521229 0.226791
0.433403 0.240842  0.508993 0.234929
0.405852 0.231367  0.533550 0.218899
0.363949 0.244647  0.581409 0.231503
0.391399 0.227441  0.545854 0.211048
0.170942 0.586096  0.854427 0.686099
0.269142 0.693356  0.794513 0.550911
0.267206 0.681479  0.805334 0.560603
0.262783 0.667647  0.817598 0.559863
0.566155 0.665583  0.783893 0.541668
0.570023 0.652066  0.773805 0.530822
0.248782 0.782592  0.309851 0.615318
0.244931 0.798748  0.683003 0.524973
0.237760 0.814267  0.591136 0.239443
0.286573 0.814614  0.724246 0.513560
0.351045 0.241587  0.590596 0.224126
0.591422 0.617133  0.724246 0.513560
0.370177 0.234641  0.557687 0.217894
0.376393 0.224830  0.557687 0.217894
0.069633 0.561540  0.833911 0.274490
0.081784 0.562697  0.811185 0.271117
0.058061 0.560339  0.833911 0.274490
0.095286 0.564323  0.796676 0.275090
0.179761 0.577912  0.748564 0.274838
0.194078 0.582887  0.699072 0.226015
0.458029 0.238273  0.483079 0.236161
0.444789 0.231575  0.495395 0.227974
0.417379 0.220937  0.520778 0.211720
0.431185 0.225964  0.508099 0.219669
0.403005 0.216273  0.533474 0.203849
0.358673 0.230844  0.581628 0.216378
0.387962 0.212000  0.545854 0.211048
0.164835 0.573644  0.765048 0.276885
0.248055 0.621809  0.645021 0.206826
0.552859 0.679894  0.807785 0.549090
0.556152 0.667600  0.797070 0.540415
0.274215 0.669193  0.819887 0.548405
0.258493 0.798371  0.684932 0.514686
0.262168 0.783604  0.156435 0.468709
0.251048 0.814222  0.590596 0.224126
0.593841 0.602218  0.165341 0.460237
0.345304 0.227757  0.542432 0.071984
0.365183 0.221159  0.566259 0.209479
0.372557 0.210456  0.514634 0.106361
0.068834 0.549754  0.837882 0.260340
0.080088 0.550769  0.829011 0.252012
0.092580 0.552090  0.815895 0.257289
0.106414 0.554125  0.791523 0.250534
0.136432 0.561367  0.796676 0.275090
0.151156 0.566941  0.781319 0.276756
0.848572 0.416476  0.621139 0.193993
0.456648 0.223035  0.482035 0.221241
0.443217 0.216675  0.494770 0.212671
0.415378 0.206009  0.520568 0.196568
0.429498 0.211122  0.507618 0.204505
0.400736 0.200799  0.503238 0.128832
0.353479 0.217419  0.528001 0.085454
0.370637 0.199905  0.514634 0.106361
0.160518 0.559168  0.771200 0.264892
0.848165 0.431997  0.632398 0.200903
0.252990 0.611685  0.645021 0.206826
0.543211 0.676483  0.823052 0.536970
0.546126 0.670467  0.810368 0.538315
0.385357 0.194547  0.501104 0.113803
0.272387 0.798462  0.146520 0.478693
0.264494 0.814380  0.146520 0.478693
0.339470 0.214010  0.528979 0.068791
0.558060 0.603728  0.142756 0.396986
0.360679 0.208269  0.514800 0.079289
0.851896 0.239466  0.841002 0.246030
0.862822 0.232559  0.831806 0.237475
0.090399 0.540351  0.819816 0.242739
0.103156 0.541841  0.799185 0.222039
0.132334 0.547709  0.801698 0.261482
0.146917 0.552815  0.786671 0.264009
0.917938 0.945045  0.205709 0.921615
0.455552 0.207888  0.481469 0.205882
0.442019 0.201846  0.494312 0.197476
0.428150 0.196398  0.507285 0.189363
0.413810 0.191053  0.490530 0.137089
0.399259 0.185328  0.488751 0.122708
0.581242 0.586124  0.125564 0.434594
0.348863 0.204131  0.133327 0.477411
0.358176 0.195020  0.501049 0.087195
0.370003 0.187105  0.487901 0.094865
0.156701 0.545180  0.776614 0.252606
0.265810 0.615027  0.633348 0.187683
0.485693 0.724927  0.205709 0.921615
0.384233 0.178934  0.300145 0.785149
0.278476 0.814614  0.120743 0.471712
0.286609 0.798831  0.120743 0.471712
0.290512 0.784607  0.116973 0.457405
0.591807 0.579239  0.113937 0.443740
0.333731 0.200087  0.517534 0.060506
0.554868 0.588690  0.140481 0.411414
0.543309 0.596859  0.142756 0.396986
0.853324 0.225613  0.831806 0.237475
0.863728 0.218601  0.822267 0.227780
0.100895 0.530653  0.812797 0.217323
0.113984 0.532513  0.819816 0.242739
0.128285 0.535433  0.805986 0.247066
0.142678 0.539859  0.791523 0.250534
0.454712 0.192950  0.480997 0.190720
0.441001 0.187076  0.493922 0.182387
0.427043 0.181566  0.477698 0.145394
0.412804 0.175975  0.476937 0.131676
0.398262 0.170141  0.476763 0.118237
0.577296 0.573482  0.112482 0.429096
0.346308 0.189975  0.503008 0.071238
0.356560 0.180818  0.489028 0.077928
0.368517 0.171732  0.474873 0.087468
0.791523 0.250534  0.124792 0.524081
0.153672 0.530448  0.774154 0.215663
0.488776 0.712916  0.633348 0.187683
0.382963 0.163604  0.461589 0.094705
0.292475 0.814548  0.512165 0.045558
0.299669 0.798718  0.107527 0.466588
0.602845 0.568703  0.103712 0.452003
0.587850 0.565074  0.100042 0.439035
0.330599 0.184824  0.498379 0.045577
0.563497 0.567226  0.112482 0.429096
0.853517 0.211640  0.828704 0.210948
0.111864 0.522101  0.822267 0.227780
0.124792 0.524081  0.809567 0.232380
0.138981 0.526816  0.795621 0.236535
0.809567 0.232380  0.853175 0.197627
0.795621 0.236535  0.122005 0.514446
0.176433 0.530039  0.753732 0.179368
0.215706 0.551577  0.692953 0.183217
0.163395 0.523776  0.765451 0.190974
0.508011 0.679606  0.618688 0.207252
0.453980 0.178081  0.466932 0.169281
0.440167 0.172308  0.465793 0.154597
0.426343 0.166844  0.465491 0.140855
0.411933 0.161278  0.464674 0.126760
0.397289 0.155401  0.448862 0.102337
0.573126 0.560101  0.255358 0.916487
0.345509 0.175766  0.492745 0.059591
0.356450 0.166498  0.476104 0.074557
0.368501 0.157169  0.462088 0.079418
0.781115 0.239878  0.134968 0.515726
0.149127 0.519164  0.791254 0.196666
0.493358 0.686774  0.632398 0.200903
0.383026 0.149412  0.461589 0.094705
0.623618 0.549521  0.094007 0.461069
0.612638 0.556440  0.094007 0.461069
0.597945 0.553985  0.090042 0.445578
0.583632 0.549741  0.244208 0.916031
0.332659 0.168702  0.483891 0.047585
0.853175 0.197627  0.828704 0.210948
0.187026 0.522142  0.742146 0.166581
0.173087 0.516373  0.767337 0.176880
0.212946 0.537183  0.704803 0.175030
0.225520 0.545369  0.692728 0.168250
0.158712 0.512206  0.779462 0.186618
0.431588 0.737568  0.680997 0.161567
0.478532 0.690435  0.205709 0.921615
0.494839 0.671428  0.621139 0.193993
0.439494 0.157769  0.452549 0.149105
0.425230 0.152986  0.451681 0.135143
0.410897 0.148753  0.450859 0.120419
0.396927 0.142670  0.448862 0.102337
0.568469 0.545857  0.089675 0.418877
0.348038 0.161980  0.478671 0.061991
0.355380 0.150543  0.464378 0.065059
0.369778 0.144120  0.448298 0.085009
0.480660 0.676744  0.633348 0.187683
0.383734 0.135736  0.490530 0.137089
0.606354 0.543115  0.090042 0.445578
0.594433 0.535056  0.244208 0.916031
0.579031 0.533980  0.532408 0.142812
0.321814 0.156119  0.475304 0.035679
0.338331 0.154843  0.468646 0.050210
0.492002 0.892450  0.096451 0.370330
0.842621 0.189658  0.830873 0.195555
0.862522 0.170991  0.805179 0.191694
0.802467 0.207082  0.852792 0.171781
0.182180 0.509775  0.770381 0.149687
0.395920 0.774437  0.729095 0.158510
0.167966 0.504802  0.783144 0.157628
0.208644 0.524348  0.716505 0.151256
0.410308 0.753596  0.704884 0.145003
0.417071 0.741175  0.693755 0.139070
0.153432 0.501351  0.795597 0.166453
0.423485 0.728372  0.681237 0.132251
0.466189 0.680333  0.633348 0.187683
0.423881 0.141538  0.437755 0.130023
0.409878 0.136535  0.465491 0.140855
0.397269 0.128696  0.476937 0.131676
0.356595 0.136389  0.517819 0.135801
0.371926 0.127707  0.503238 0.128832
0.854669 0.159536  0.807383 0.176272
0.386102 0.119967  0.300145 0.785149
0.587364 0.520467  0.532408 0.142812
0.574027 0.519506  0.531004 0.127749
0.331345 0.144660  0.548041 0.149508
0.343893 0.141430  0.532408 0.142812
0.485830 0.880040  0.700651 0.816944
0.842742 0.175395  0.820320 0.170954
0.852792 0.171781  0.818794 0.186249
0.791254 0.196666  0.843828 0.161678
0.380395 0.775202  0.742994 0.150444
0.387661 0.765151  0.729909 0.143140
0.848534 0.135822  0.797139 0.151789
0.394989 0.755565  0.717622 0.136501
0.402027 0.743465  0.705940 0.130535
0.408891 0.731284  0.693475 0.124173
0.846667 0.148104  0.809133 0.161031
0.415183 0.718394  0.680786 0.117620
0.455515 0.671266  0.633348 0.187683
0.424476 0.122615  0.450859 0.120419
0.410700 0.123819  0.464674 0.126760
0.399649 0.113885  0.474895 0.102751
0.344209 0.127483  0.531004 0.127749
0.359133 0.124071  0.516130 0.120795
0.376199 0.108790  0.489028 0.077928
0.843828 0.161678  0.820320 0.170954
0.423961 0.692988  0.657309 0.148059
0.389212 0.103201  0.474873 0.087468
0.596463 0.509389  0.546432 0.134277
0.480699 0.868893  0.700651 0.816944
0.477335 0.858030  0.699911 0.833266
0.363110 0.112159  0.501049 0.087195
0.779462 0.186618  0.365013 0.773069
0.365013 0.773069  0.757268 0.142596
0.372156 0.764418  0.744110 0.135714
0.357759 0.781198  0.770381 0.149687
0.379477 0.754855  0.731170 0.128867
0.386801 0.744242  0.718827 0.122766
0.394065 0.732593  0.706313 0.116807
0.401086 0.720048  0.693454 0.110359
0.834739 0.151272  0.822146 0.155829
0.407820 0.695139  0.681237 0.132251
0.413681 0.109217  0.462271 0.111011
0.403256 0.098389  0.462088 0.079418
0.347421 0.115106  0.514800 0.079289
0.368741 0.099062  0.503008 0.071238
0.378887 0.090330  0.466434 0.024239
0.428950 0.104557  0.448862 0.102337
0.392731 0.086387  0.464378 0.065059
0.565036 0.907703  0.096451 0.370330
0.559363 0.882261  0.700928 0.848224
0.354030 0.102190  0.286469 0.952450
0.809133 0.161031  0.824133 0.141219
0.795597 0.166453  0.825563 0.127794
0.350012 0.769896  0.771704 0.135654
0.356923 0.762082  0.758480 0.128626
0.364141 0.753263  0.745229 0.121885
0.825563 0.127794  0.784625 0.143296
0.371649 0.743083  0.732201 0.115492
0.379130 0.732296  0.719443 0.109730
0.386889 0.720902  0.706466 0.103518
0.394908 0.707984  0.668187 0.125286
0.398323 0.683047  0.668187 0.125286
0.417829 0.094108  0.448298 0.085009
0.407579 0.082973  0.450484 0.069470
0.337799 0.103349  0.340095 0.039283
0.361694 0.089677  0.463355 0.001564
0.383855 0.074553  0.449746 0.026227
0.390002 0.695844  0.680786 0.117620
0.397019 0.070114  0.442528 0.039846
0.465590 0.793037  0.340095 0.039283
0.456571 0.822981  0.529202 0.818018
0.554744 0.896624  0.700651 0.816944
0.550568 0.909160  0.700651 0.816944
0.548649 0.917170  0.679886 0.818018
0.546210 0.873315  0.703941 0.862261
0.813162 0.119155  0.785848 0.129544
0.343093 0.757289  0.772812 0.122195
0.349458 0.749850  0.759529 0.115410
0.356729 0.740923  0.746101 0.108893
0.812279 0.132157  0.798547 0.137543
0.364608 0.730309  0.732801 0.102929
0.372590 0.719354  0.742994 0.150444
0.380864 0.708156  0.680786 0.117620
0.383036 0.682837  0.680545 0.103661
0.422868 0.079526  0.437379 0.075155
0.412681 0.068349  0.435682 0.053209
0.556966 0.850896  0.529202 0.818018
0.543789 0.887481  0.699911 0.833266
0.542812 0.854795  0.920443 0.887771
0.374952 0.694787  0.693454 0.110359
0.402333 0.054816  0.393124 0.038940
0.451483 0.793035  0.328204 0.049407
0.559783 0.838489  0.543235 0.819561
0.540163 0.899845  0.699911 0.833266
0.538321 0.906991  0.688829 0.827647
0.538197 0.914394  0.677858 0.829469
0.532347 0.881809  0.712386 0.838315
0.534121 0.867394  0.713258 0.363942
0.800123 0.111335  0.786645 0.116464
0.799971 0.099023  0.773334 0.109450
0.342895 0.736609  0.759853 0.102945
0.350530 0.727174  0.758480 0.128626
0.358628 0.716743  0.744110 0.135714
0.366609 0.706101  0.693466 0.096984
0.368679 0.681340  0.693466 0.096984
0.544846 0.843662  0.534602 0.831879
0.528605 0.893680  0.700928 0.848224
0.530401 0.852053  0.909735 0.881377
0.360896 0.692338  0.706469 0.090692
0.559475 0.823079  0.543235 0.819561
0.731622 0.940187  0.687787 0.844281
0.723600 0.951109  0.676689 0.841239
0.717945 0.960641  0.667202 0.838485
0.514568 0.890448  0.714948 0.851962
0.521986 0.877982  0.718422 0.865349
0.524426 0.863600  0.718355 0.377490
0.872649 0.340788  0.048877 0.337806
0.786374 0.091961  0.773305 0.097217
0.337418 0.722465  0.759529 0.115410
0.345100 0.712882  0.719443 0.109730
0.353243 0.702655  0.706469 0.090692
0.355120 0.678413  0.706315 0.077986
0.361163 0.670247  0.693358 0.083733
0.725805 0.928117  0.690099 0.858952
0.855072 0.872768  0.906599 0.866310
0.347886 0.688475  0.719441 0.084686
