# uv_i_x uv_i_y  uv_j_x uv_j_y
0.058061 0.560339  0.833911 0.274490
0.095286 0.564323  0.796676 0.275090
0.110268 0.567523  0.786671 0.264009
0.125434 0.570878  0.756081 0.263843
0.140382 0.575642  0.740854 0.261771
0.155218 0.581430  0.725398 0.258443
0.179761 0.577912  0.748564 0.274838
0.194078 0.582887  0.699072 0.226015
0.233631 0.619110  0.668088 0.220113
0.258859 0.652641  0.618688 0.207252
0.573711 0.626887  0.156342 0.390053
0.476540 0.765220  0.691981 0.233161
0.458029 0.238273  0.483079 0.236161
0.444789 0.231575  0.495395 0.227974
0.417379 0.220937  0.520778 0.211720
0.431185 0.225964  0.508099 0.219669
0.403005 0.216273  0.533474 0.203849
0.358673 0.230844  0.581628 0.216378
0.387962 0.212000  0.545854 0.211048
0.164835 0.573644  0.765048 0.276885
0.225838 0.606714  0.668088 0.220113
0.253754 0.637241  0.630331 0.214376
0.248055 0.621809  0.645021 0.206826
0.552859 0.679894  0.807785 0.549090
0.556152 0.667600  0.797070 0.540415
0.274215 0.669193  0.819887 0.548405
0.848165 0.400893  0.611367 0.187221
0.559267 0.653217  0.167155 0.349857
0.561836 0.633252  0.159438 0.376306
0.481028 0.752433  0.679656 0.226916
0.258493 0.798371  0.684932 0.514686
0.262168 0.783604  0.156435 0.468709
0.251048 0.814222  0.590596 0.224126
0.593841 0.602218  0.165341 0.460237
0.345304 0.227757  0.542432 0.071984
0.582412 0.605841  0.151430 0.417814
0.572515 0.611621  0.142756 0.396986
0.365183 0.221159  0.566259 0.209479
0.372557 0.210456  0.514634 0.106361
0.068834 0.549754  0.837882 0.260340
0.080088 0.550769  0.829011 0.252012
0.092580 0.552090  0.815895 0.257289
0.106414 0.554125  0.791523 0.250534
0.121333 0.557379  0.776614 0.252606
0.136432 0.561367  0.796676 0.275090
0.151156 0.566941  0.781319 0.276756
0.456054 0.778126  0.699072 0.226015
0.174290 0.565069  0.724886 0.237440
0.461720 0.767773  0.699072 0.226015
0.240125 0.609275  0.656057 0.213602
0.848572 0.416476  0.621139 0.193993
0.561351 0.618509  0.145026 0.382495
0.467171 0.755469  0.687067 0.219780
0.456648 0.223035  0.482035 0.221241
0.443217 0.216675  0.494770 0.212671
0.415378 0.206009  0.520568 0.196568
0.429498 0.211122  0.507618 0.204505
0.400736 0.200799  0.503238 0.128832
0.353479 0.217419  0.528001 0.085454
0.370637 0.199905  0.514634 0.106361
0.160518 0.559168  0.771200 0.264892
0.485519 0.742807  0.668088 0.220113
0.848165 0.431997  0.632398 0.200903
0.252990 0.611685  0.645021 0.206826
0.543211 0.676483  0.823052 0.536970
0.546126 0.670467  0.810368 0.538315
0.550111 0.656116  0.310371 0.829120
0.281090 0.657861  0.241449 0.329633
0.276847 0.642976  0.603261 0.180579
0.552318 0.639471  0.124872 0.337393
0.551025 0.624189  0.124872 0.337393
0.472805 0.743138  0.668088 0.220113
0.385357 0.194547  0.501104 0.113803
0.272387 0.798462  0.146520 0.478693
0.264494 0.814380  0.146520 0.478693
0.276218 0.784605  0.129819 0.462731
0.277951 0.771253  0.125564 0.434594
0.339470 0.214010  0.528979 0.068791
0.569422 0.595635  0.140481 0.411414
0.558060 0.603728  0.142756 0.396986
0.360679 0.208269  0.514800 0.079289
0.851896 0.239466  0.841002 0.246030
0.862822 0.232559  0.831806 0.237475
0.090399 0.540351  0.819816 0.242739
0.103156 0.541841  0.799185 0.222039
0.117440 0.544339  0.788334 0.211521
0.132334 0.547709  0.801698 0.261482
0.146917 0.552815  0.786671 0.264009
0.182986 0.558046  0.725153 0.205579
0.446816 0.769800  0.704210 0.190083
0.170224 0.551301  0.749078 0.209864
0.452247 0.757684  0.692953 0.183217
0.917938 0.945045  0.205709 0.921615
0.272811 0.629061  0.623506 0.180818
0.547466 0.610678  0.122554 0.350114
0.458563 0.745000  0.692953 0.183217
0.455552 0.207888  0.481469 0.205882
0.442019 0.201846  0.494312 0.197476
0.428150 0.196398  0.507285 0.189363
0.413810 0.191053  0.490530 0.137089
0.399259 0.185328  0.488751 0.122708
0.581242 0.586124  0.125564 0.434594
0.348863 0.204131  0.133327 0.477411
0.358176 0.195020  0.501049 0.087195
0.370003 0.187105  0.487901 0.094865
0.156701 0.545180  0.776614 0.252606
0.255358 0.903986  0.215465 0.915979
0.265810 0.615027  0.633348 0.187683
0.485693 0.724927  0.205709 0.921615
0.532836 0.674874  0.130420 0.306087
0.539987 0.659373  0.127522 0.322813
0.541512 0.644244  0.127522 0.322813
0.521749 0.685867  0.617339 0.236735
0.284414 0.632225  0.614734 0.173420
0.540601 0.629765  0.124872 0.337393
0.537392 0.616616  0.110505 0.342729
0.465341 0.735333  0.215465 0.915979
0.384233 0.178934  0.300145 0.785149
0.278476 0.814614  0.120743 0.471712
0.286609 0.798831  0.120743 0.471712
0.290512 0.784607  0.116973 0.457405
0.591807 0.579239  0.113937 0.443740
0.333731 0.200087  0.517534 0.060506
0.554868 0.588690  0.140481 0.411414
0.566972 0.580056  0.126551 0.419041
0.543309 0.596859  0.142756 0.396986
0.853324 0.225613  0.831806 0.237475
0.863728 0.218601  0.822267 0.227780
0.100895 0.530653  0.812797 0.217323
0.113984 0.532513  0.819816 0.242739
0.128285 0.535433  0.805986 0.247066
0.142678 0.539859  0.791523 0.250534
0.179590 0.544055  0.740189 0.184447
0.192099 0.551277  0.716326 0.182358
0.204390 0.558826  0.704803 0.175030
0.167072 0.536928  0.763094 0.205445
0.216397 0.566917  0.681476 0.176456
0.503551 0.706888  0.623506 0.180818
0.533055 0.603677  0.122554 0.350114
0.228223 0.574923  0.670415 0.184826
0.454712 0.192950  0.480997 0.190720
0.441001 0.187076  0.493922 0.182387
0.427043 0.181566  0.477698 0.145394
